Nome da música,Id da música,Características,Valores
Aprendi Com o Rei (Ao Vivo),5P3Wi0zie5nP6wsJM5XvoM,Dançabilidade,0.663
O Livre Atirador e a Pegadora (Ao Vivo),5IOZfy9tMhJqjGXbHM0jwJ,Dançabilidade,0.591
Qui Nem Jiló / Expresso 2222 (Ao Vivo),0FXyLe8HnVp2AtYgP9wXPD,Dançabilidade,0.455
O Casamento da Raposa (Ao Vivo),59PHZNYeNa6aaX8Jk7v5kr,Dançabilidade,0.491
Fé na Festa,0cp6aHl3mypJjcxth4GnSd,Dançabilidade,0.739
O Livre Atirador e a Pegadora,1ifK0dA4dHSTa7egSJz0ed,Dançabilidade,0.652
Assim Sim,2pCUfCduATyVWbFkJ9HBUK,Dançabilidade,0.737
Estrela Azul do Céu,5Ua2e9QmFUhenCILuJIQRP,Dançabilidade,0.659
Marmundo,5YxvLgLxE1A0LpENQfbD1i,Dançabilidade,0.684
Vinte e Seis,2l7QgxlUhk0oAu49sXiula,Dançabilidade,0.765
Não Tenho Medo da Vida,7AXgEnLbbMfbIc7XHVAhy6,Dançabilidade,0.845
Norte da Saudade,44Wwr9CrQ387jK7vrRzB1Z,Dançabilidade,0.713
Maria Minha,3VTnKceEjt8qJu43YMeydY,Dançabilidade,0.668
Aprendi Com o Rei,249owxDulgERZuDz6a4FTt,Dançabilidade,0.684
Dança da Moda,6vVDzyDvV8h9Z75TvYZcx0,Dançabilidade,0.721
São João Carioca,6UeCS0ZYTI4On2ummaAUAT,Dançabilidade,0.621
Lá Vem Ela,2YiEcK8iYMBnblPPCQNyZL,Dançabilidade,0.6
A Linha e o Linho (Ao Vivo),2G4p4jv1fYAbiwOWQqiQE0,Dançabilidade,0.597
Superhomem - a Canção (Ao Vivo),0hhK7w4ADtpvZaIVQ7cCzK,Dançabilidade,0.71
Saudade da Bahia (Ao Vivo),0114uqGGY5ekp155LIZLsV,Dançabilidade,0.63
"Das Duas, Uma (Ao Vivo)",0t10OW5i0utzyrxD02pFQ1,Dançabilidade,0.668
Quatro Coisas (Ao Vivo),5h6KXI64u0HZne6k5mGNwO,Dançabilidade,0.51
Amor Até o Fim (Ao Vivo),7sOo6mq9K8WcNlmQMvsSR0,Dançabilidade,0.562
O Rouxinol (Ao Vivo),75B4TllmYUchyYcPNHz4nG,Dançabilidade,0.65
Refazenda (Ao Vivo),22CVOYaOMEk15QiOWlOfOo,Dançabilidade,0.761
Banda Um (Ao Vivo),3owofwkofzMg9hr0XCzoR2,Dançabilidade,0.692
La Renaissance Africaine (Ao Vivo),5HqmKsgBYHvJRmtayhOr13,Dançabilidade,0.776
Babá Alapalá (Ao Vivo),4v3fF4J1lO1fWRkbBZVVtE,Dançabilidade,0.62
Expresso 2222 (Ao Vivo),0mI0S9VcuRAyhyjp3rOdCK,Dançabilidade,0.586
Despedida de solteira,37iEW916YEEYuxRrA9WmX3,Dançabilidade,0.714
Os pais,6KYLdmxVZgCA1BFOpANgzp,Dançabilidade,0.692
Não grude não,3M9t8rvmoDbmV80UvppiTX,Dançabilidade,0.731
Formosa,2pFjRTGMh3xpEsQZV4cZdU,Dançabilidade,0.609
Samba de Los Angeles,2K3ipoSAjBk0T68SqlGpcd,Dançabilidade,0.766
La renaissance africaine,1uepkfNm3wQhahAXbIqlx4,Dançabilidade,0.858
Olho mágico,3HE8oanG92t41ZlfUOZK7S,Dançabilidade,0.756
Não tenho medo da morte,6fht7Ses5AozNNE5x6Xtzw,Dançabilidade,0.592
Amor de carnaval,4RFn4VTxB0PJDPE9u50Rs0,Dançabilidade,0.671
Gueixa no tatame,0g1XYHNZYydfXheBZHFfmj,Dançabilidade,0.758
A faca e o queijo,6H2SY3vMMNhjSsSTfkD6Hr,Dançabilidade,0.601
Outros viram,4Vuv1OpjIA683dVCg14Rgt,Dançabilidade,0.766
Canô,3TlAGuqUc2lnSkeN8T86V1,Dançabilidade,0.697
Máquina de ritmo,4xZeOJy7L4kYNm5JMpjImG,Dançabilidade,0.718
Banda larga cordel,24sXyXWws4n0rASrNYBqqG,Dançabilidade,0.752
O oco do mundo,6uPeKgD38wII8D1IbWaz7k,Dançabilidade,0.708
Others Saw It,1KpE2PHUlotow7oy7Ni2r3,Dançabilidade,0.738
Life Gods (Participação especial de Marisa Monte),22bb6XdDlDlj6FmsHnbvZE,Dançabilidade,0.727
Baticum (Participação especial de Chico Buarque),75SQtB5dLTnPtluCM0mBMe,Dançabilidade,0.691
A Paz (Participação especial de João Donato),3wq0hM13O10eNlSWDXe2WO,Dançabilidade,0.602
Cada Macaco No Seu Galho (Chô Chuá) [Participação especial de Caetano Veloso],4N8kzD9PpVgM4oUlL8qfC1,Dançabilidade,0.782
Um Trem para as Estrelas (Participação especial de Cazuza),4KY6IcRexYfwYk3q9HN8BK,Dançabilidade,0.722
Sebastian,4m0nqdi9xMwTEjwmaht6Zj,Dançabilidade,0.642
Tarde em Itapoã (Participação especial de Toquinho),1fnhtShlklKmUDuTym35Lt,Dançabilidade,0.56
Alguém Me Avisou (Participação especial de Maria Bethânia e Caetano Veloso),4KLSxFHwcK1JOw4ctPZ7GN,Dançabilidade,0.671
Extra (Participação especial de Cidade Negra) - Acústico,4ql2jVYt0hD3PFvcsKYVLP,Dançabilidade,0.687
Céu da Boca (Participação especial de Ivete Sangalo) - Ao vivo,1MZKJRRzZPFxoVJBoCrHYr,Dançabilidade,0.649
Macô (Participação especial de Chico Science e Marcelo D2),068nj9kawv53PUN7RFA5yi,Dançabilidade,0.779
Alagados (Participação especial de Os Paralamas do Sucesso),53QDBhT5fm361P08vz1VEI,Dançabilidade,0.681
Fiz o Que Pude (Participação especial de Cássia Eller),50k6YEWD9XwvFUwJydfURi,Dançabilidade,0.641
Refestança (Participação especial de Rita Lee),6UOFXKlMIOAzSg9XYmEolw,Dançabilidade,0.503
Preciso Aprender a Só Ser,41q3q5opxQkcfM3FUq2hMA,Dançabilidade,0.453
Aqui e Agora,4W7eLFq7r7zu0hJ49l1Uwd,Dançabilidade,0.685
Copo Vazio,1pkqmRR9Lu4m1PjW1CM8AV,Dançabilidade,0.721
Retiros Espirituais,2P3rjpE85lh7Z2NFKm8SZs,Dançabilidade,0.65
O Seu Amor,4lD5Vs7DDslEOVH982H4b0,Dançabilidade,0.701
Tempo Rei,3FZwN9vQ0maZ188L3bs0oI,Dançabilidade,0.691
O Som da Pessoa,2HdzhflX9VEjfcIAJCb5Yz,Dançabilidade,0.763
Cérebro Eletrônico,2mFXSimfXwb02qRA1xfJHk,Dançabilidade,0.773
A Raça Humana,4yk5i1XfVjQw9Hnizv3ATI,Dançabilidade,0.702
Você e Você,5kimKhhv2opEjc2WQx1EOy,Dançabilidade,0.7
Super-Homem - a Canção,7GdWRtgKtSzpONCoA2VjGd,Dançabilidade,0.691
Rebento,5ODZB69VTYy3d4aK7sL7Oa,Dançabilidade,0.641
Metáfora,1d0s3e3Yz6BfQbFrqylca4,Dançabilidade,0.839
Meditação,3ydZhkOfHFvvoyvCZUENwH,Dançabilidade,0.826
O Compositor Me Disse,4n8WrWlzIHv0iSvXnkIccQ,Dançabilidade,0.521
Refavela,6kjrD1kOcQZUVSlKwtzIsg,Dançabilidade,0.608
Ilê ayê,6L9okk7atrGuieV4FtZybt,Dançabilidade,0.53
Aqui e agora,6r1ezXJH2bD8s9a4depIwC,Dançabilidade,0.501
No norte da saudade,6nYiIKopkucbtv3U3jO0dT,Dançabilidade,0.57
Babá alapalá,2sxMo1q9kad30CdtNsIkXY,Dançabilidade,0.736
Sandra,5JmBuvUAjNnzSPIOF4Z6ZQ,Dançabilidade,0.481
Samba do avião,4eORAD7cw10CUOPyjcD6b4,Dançabilidade,0.764
Era nova,6wPo638YVloLLGDPZRBE2F,Dançabilidade,0.528
Balafon,4DVf2QF6BoGHHO7TPBeFkc,Dançabilidade,0.475
Patuscada de Gandhi - Afoxé filhos de Gandhi,6pqvI3ods51ID3ZSJ67H9S,Dançabilidade,0.753
Expresso 2222,3K2NfX47zxG0S6j7c0XRtJ,Dançabilidade,0.788
Back In Bahia,4JwPvSNHfudJ1qbU4WNNpA,Dançabilidade,0.674
A Bruxa De Mentira,6zGx0l61sfBNjdfQ50aM3R,Dançabilidade,0.737
Oriente,7MK5QyLWpVp0HJfENEwiik,Dançabilidade,0.564
Meio De Campo,2LNIu4GS76jalCoRHQRGHe,Dançabilidade,0.637
Lamento Sertanejo (Forró Do Dominguinhos),0Dxat2jZPQN2TkpbeqLL4r,Dançabilidade,0.71
Sarará Miolo,6gbKxM1wQOq0IYVxRKS7Hy,Dançabilidade,0.713
O Sonho Acabou,77rnNCUWNSQnGjO1qAzB2K,Dançabilidade,0.806
Chiclete Com Banana,2SHx5HRUhNmo7Ntf5xP8BA,Dançabilidade,0.716
Lugar Comum - Live,74qHtALcpXckulljaVyEJD,Dançabilidade,0.473
Aquele Abraço,5njQfXKztQf20E15uWLYgZ,Dançabilidade,0.522
Vitrines,0j1wQw193MKgxjQteeJgMz,Dançabilidade,0.403
Frevo Rasgado,05fViRVVRFClMrln7RFHns,Dançabilidade,0.473
Rainha Do Mar,0NWC6kiLQ0pVoPBTH5JfBg,Dançabilidade,0.583
Procissão,5HRcb8ib9H2s7B7NLNc209,Dançabilidade,0.566
Parque Industrial - Original Mix,0aZ38ARn8ZCXXLSiJ9jz0S,Dançabilidade,0.49
Eu Só Quero Um Xodó,4yHv1NckqTKG0vkN7sWG6n,Dançabilidade,0.517
Bat Macumba,5XsZIOjCwwMd8Ya36BNuD0,Dançabilidade,0.726
Chuckberry Fields Forever,2VQQ1J5Ets8MIUUF5Tkq1Z,Dançabilidade,0.649
Domingo No Parque,1REkR3chm0MjaVkTqE0Siw,Dançabilidade,0.434
Refavela - Ao vivo,68Yw9pkWjA9ysOd3tADL06,Dançabilidade,0.468
Andar com fé - Ao vivo,1OszxExJ62qODTleuQIzrZ,Dançabilidade,0.68
Chuck Berry Fields Forever - Ao vivo,4QlFxLJ5H5DZuhCOOqcyK9,Dançabilidade,0.583
Cambalache - Ao vivo,2wy8DSC3aHt6seXABih2vG,Dançabilidade,0.782
Imagine - Ao vivo,7ebhe187cww60KPYNBltUh,Dançabilidade,0.634
A Rita - Ao vivo,1tBS1IyYtvCHQBZ8nDuzBN,Dançabilidade,0.607
A linha e o linho - Ao vivo,5jNMNe5XGDtVMRNF3UsxOE,Dançabilidade,0.604
Aquele abraço - Ao vivo,0fu5MT8XW6lxaKZp7lEeyo,Dançabilidade,0.713
Maracatu atômico - Ao vivo,6IrVe31AGBymZXU63hlFqs,Dançabilidade,0.597
Se eu quiser falar com Deus - Ao vivo,7juNpUD2eKlSPBTdgr8EGC,Dançabilidade,0.658
La Lune de Gorée - Ao vivo,1f8DbA2yAycTg3Z7hSwiNX,Dançabilidade,0.612
Three Little Birds - Ao vivo,4U9SwT7m5vlS9kagFGccvQ,Dançabilidade,0.503
Guerra santa - Ao vivo,4AIokp1otxlrVwFEvLhcDG,Dançabilidade,0.751
"Soy loco por ti, América - Ao vivo",1T2dnSuErbyuo6uChC2mjn,Dançabilidade,0.491
Eleve-se alto céu (Lively Up Yourself) - Ao vivo,2O6F7M6OoR8tPdZ6qEMM12,Dançabilidade,0.652
"Não chore mais (No Woman, No Cry) - Ao vivo",6rqwO8DFj6H7z0JRQWzp5d,Dançabilidade,0.408
Kaya n'gan Daya (Kaya) - Ao vivo,37tjLWQuu1HV0WJ2yC00kT,Dançabilidade,0.588
Rebel Music (3 O'Clock Road Block) - Ao vivo,7ywO57ljHnIaFRlqsu8cZK,Dançabilidade,0.729
Vamos fugir - Ao vivo,6T8NWnJtMCD1krX8EADo5L,Dançabilidade,0.653
Them Belly Full (But We Hungry) - Ao vivo,34MI4HDumV5ngtSJl5KG65,Dançabilidade,0.662
A novidade - Ao vivo,4xD6YsVOLW9klE4Q9jzk35,Dançabilidade,0.626
Waiting In Vain - Ao vivo,7GtjANDZxWoRftTcK25rsL,Dançabilidade,0.664
Garota de Ipanema - Ao vivo,3zPYWPLSMz7BIDkEnuHjkr,Dançabilidade,0.533
Extra - Ao vivo,0lYepTEBzviDufsvKozlBo,Dançabilidade,0.634
Nos barracos da cidade (Barracos) - Ao vivo,2HXl7JIj1pfTXzUFfcaQIR,Dançabilidade,0.535
Is This Love - Ao vivo,2KC9rIlg8RZI2RLsURoBjZ,Dançabilidade,0.688
Could You Be Loved - Ao vivo,3PmsOqbYK5HaC5t4dqKk20,Dançabilidade,0.612
Alagados - Ao vivo,4lNFozAYr5uOKScVEM62a1,Dançabilidade,0.522
Sítio do pica pau amarelo - Ao vivo,3KgZ5suBfLmxr0O4MPvCRK,Dançabilidade,0.686
Esperando na janela - Ao vivo,6CiDXL3yaUX3q9kkt26I9v,Dançabilidade,0.381
Buffalo Soldier,1yh0kxA7r5NanfzHUz0T4Q,Dançabilidade,0.854
One Drop (feat. I-Three),1maJJDcVwRJQZayT8DIoYK,Dançabilidade,0.93
Waiting In Vain,3YnZHA99Wd3iZlHUAxnRR6,Dançabilidade,0.795
Table Tennis Table,7LLjvHfiQNWyowkK6nrjdN,Dançabilidade,0.767
Three Little Birds (feat. I-Three),7xNN0DH8lEqaDQUBw0TkAv,Dançabilidade,0.65
"Não chores mais [No Woman, No Cry] (feat. Os Paralamas do Sucesso)",03VJWrI1A8RnGA1VHi56h8,Dançabilidade,0.473
Positive Vibration (feat. I-Three),7jL1oIZJMbwbrU8QTnokDo,Dançabilidade,0.886
Could You Be Loved (feat. Henrique Portugal & Samuel Rosa),5OXXhU80VHjcjXvxw9xXiv,Dançabilidade,0.877
Kaya n'gan daya (Kaya),6YiEF5vN4rxH2w4jRos4mE,Dançabilidade,0.762
Rebel Music (3 O'Clock Road Block),7oEMV2ts6P9kj848Tp4CS3,Dançabilidade,0.815
Them Belly Full [But We Hungry] (feat. Os Paralamas do Sucesso),3BXWmla3Td4b4TFkvsW3yZ,Dançabilidade,0.774
Tempo só (Time Will Tell),6IwdkrtoGMyWjguXx5wh7u,Dançabilidade,0.589
Easy Skankin',1vGG4m9ZVMtGZSorXch2ji,Dançabilidade,0.925
Turn Your Lights Down Low,0luRmxbN7KO5761BSaCFU1,Dançabilidade,0.777
Eleve-se alto ao céu (Lively Up Yourself),4otxZ8hAk8P2RXuhkEw2HP,Dançabilidade,0.811
Lick samba (feat. Rita Marley e I-Three),4x905OLHG2PlRNBlqGiEHe,Dançabilidade,0.715
Could You Be Loved - Remix Nu Reggae Metal,3QigMM17dJlYBVOPXzeUKe,Dançabilidade,0.792
It's Good To Be Alive,539WAfKcRyvwtgnAHmYeH2,Dançabilidade,0.687
Língua do Pê,51aQsuLbVL69DLBeLdVRRJ,Dançabilidade,0.445
Terra 90,7fgfbJkM12Mpeasuxu9QBW,Dançabilidade,0.498
Treze de Dezembro,6uqhnNU4Er1oeoQOd886oK,Dançabilidade,0.566
Padroeiro do Brasil,3ELI0eMjmkAjiGzuEfQ1dt,Dançabilidade,0.651
Chiquinho Azevedo,7p15cV6VNTiKGE0NfLsv58,Dançabilidade,0.449
A Faca e o Queijo,4OC3k2P01crXUeVSN4bpLJ,Dançabilidade,0.815
Poema Aritimimético,3H6tqgGlDNHI8MMtEu9cu2,Dançabilidade,0.608
Afrolodumultimídia,3h45QYiT7JXIno6zfRooK9,Dançabilidade,0.871
Você e Você,0tS2Y7ceOXxTpns5ettXQn,Dançabilidade,0.752
Mãe Solteira,6L0SQnIT2H7HeO2aPMHPCH,Dançabilidade,0.709
Pelo Telefone - Ao Vivo,5txShfEDCNxTQ07cWaS4sO,Dançabilidade,0.779
Pela Internet - Ao Vivo,7saRHC007BcfVxCupkfjwD,Dançabilidade,0.635
Cérebro Eletrônico - Ao Vivo,52F9Nu1KYqoFPy7ySe40ZF,Dançabilidade,0.638
O Mar e o Lago - Ao Vivo,3yO90qTQkRxeQ7OUgsQPLJ,Dançabilidade,0.456
Buda Nagô - Ao Vivo,69K9SVWrmHT9VjTHv9B21v,Dançabilidade,0.65
Aquele Abraço - Ao Vivo,6tF1bVLnfcDOPh9OkCs6FO,Dançabilidade,0.645
Chamada,2KtKIvdcqJCEZnaeBUYlk8,Dançabilidade,0.273
Meteorum,2MWwBvzvquLGEf6V1Xtc9I,Dançabilidade,0.757
Flagelo,72MDyT2iulLxho6XiXGmC6,Dançabilidade,0.258
Danca Das Mulheres,7okDnjue0IqQ1cydK2DWkL,Dançabilidade,0.453
Lamento Das Mulheres,1lLrbcCAHoS4VcZ6NaVDCu,Dançabilidade,0.337
Danca Dos Homens,3ghfPisnvLEvnCUU4gGtGk,Dançabilidade,0.482
Danca Da Agua E Da Paz,1cpWkhPuD3w9tDP8G9SDp5,Dançabilidade,0.79
Oracao,6urWvA0625C54v2ZU2omtD,Dançabilidade,0.318
Requiem,1nPbI2NNF1gbWL1SmrKvrZ,Dançabilidade,0.619
Zumbi,2mW05hESxxR7kFocvlhVMN,Dançabilidade,0.69
Titicaca,548jJZokDqGWXpdwrLjvQT,Dançabilidade,0.449
Afoxé Badauê,2834I4scIMRkIeIXHuAjjy,Dançabilidade,0.686
Corações a Mil,3mnOvgajxvxLkhifm0RVc1,Dançabilidade,0.732
TV Punk,7EbDS1hinvL1sGMkEl1BSw,Dançabilidade,0.891
Oxalá (Cesta Cheia da Sexta),1x3IF4rQ3nPUHLC7ntAcEo,Dançabilidade,0.886
Pílula de Alho,1Y57glkLWkoEuIsfnhCQK4,Dançabilidade,0.799
Estrela,1JuROaiAB31zVXfDUhBj3a,Dançabilidade,0.772
Quatro Modos,0qbupjmOt45nYSR5GcKAe2,Dançabilidade,0.91
Música Moderna,0JS1aMCnHR2CzYdgkZRoyY,Dançabilidade,0.811
Serafim,5neSGuerIT9sMaWTbxpyFa,Dançabilidade,0.792
Noite de Lua Cheia,7HWLdvQVx82kn98sRVfhNE,Dançabilidade,0.719
Todo Dia de Manhã,5bG1HTfuHTkj97Dk4hDtHX,Dançabilidade,0.841
Punk da Periferia,4BG7i9bzrnNkV6XFmKxHr9,Dançabilidade,0.858
Por Que Alguém Tem Inveja de Você,0A29xDXXkCjyIqTXA3hCQb,Dançabilidade,0.735
Sítio do Pica Pau Amarelo,1HxygwbegLiDAWiVNDyB0g,Dançabilidade,0.722
"Pode, Waldir?",5EqQ0dAYa46lSQXuHd6L2w,Dançabilidade,0.684
Olha pro céu - Ao vivo,7sXTH6Ba3Ik5Fipmn6Mqdn,Dançabilidade,0.507
Óia eu aqui de novo - Ao vivo,0yO4m4NU0silZ3R6KhT1cL,Dançabilidade,0.463
Asa Branca - Ao vivo,2CKTbmBH2N2eK9Rl1dbUdy,Dançabilidade,0.486
Baião da Penha - Ao vivo,1eS1X03qHHo58Gc7cmlB7x,Dançabilidade,0.442
Qui nem jiló - Ao vivo,3zINScoQVIkP8UnPuMzM5T,Dançabilidade,0.591
Baião / De onde vem o baião - Ao vivo,0FWXWIpp7odoenLseba0WY,Dançabilidade,0.479
Lamento sertanejo (Forró do Dominguinhos) - Ao vivo,1PqDynYKHaB64uFfbGKluP,Dançabilidade,0.469
Cajuína / Refazenda - Ao vivo,03DdK0GMytXMMNTFKrtP22,Dançabilidade,0.489
Pau de arara - Ao vivo,1VcD89fg9zBLtdYGhA2Zi0,Dançabilidade,0.365
Respeita Januário - Ao vivo,0qDrlWXrmxD62ljuQ89aHF,Dançabilidade,0.563
O xote das meninas - Ao vivo,6plm6eolsKV8WSDtUu6hL3,Dançabilidade,0.436
Eu só quero um xodó - Ao vivo,0p806RYUtmVu8AC2XxDmc5,Dançabilidade,0.424
Vem morena - Ao vivo,6p8Cy0vaUdRcHcM4ssxYau,Dançabilidade,0.587
Último pau de arara - Ao vivo,2qrZnXAH4k1HRKAoPVaOt9,Dançabilidade,0.488
"Madalena (Entra em beco, sai em beco) - Ao vivo",6vYlMSrJhPqDOUN1tyV75X,Dançabilidade,0.461
Toda menina baiana - Ao vivo,5BlQ05Xx4rn5Oxuzem8Arc,Dançabilidade,0.47
Na casa dela - Ao vivo,2DAk2zl1SixV3AiUY6xGUV,Dançabilidade,0.557
Duas sanfonas (feat. Sandy & Junior),2ON8WbznuakJvhhzoakf8E,Dançabilidade,0.604
Ponta de areia (Vinheta),0OVfPQvGuntiZVxRyNl3X3,Dançabilidade,0.386
Bom dia,4zeglCxsR7x5pxhcjRWi0y,Dançabilidade,0.331
Trovoada,2IIfrTk6BAZjNwwOioDOav,Dançabilidade,0.731
Something,2JI8HZYbcdfkrE9cqlxWGm,Dançabilidade,0.799
Maria,6bzghHIjXXqjqc2FxMQRXc,Dançabilidade,0.631
Lar hospitalar,4FvvUPvd4A7HQScZ9c2AVw,Dançabilidade,0.87
Yo vengo a ofrecer mi corazon,2WMYctzn5W7bfVsNQE3TaD,Dançabilidade,0.62
Dora,2YWdvN5vx4hgSUuuxKzagQ,Dançabilidade,0.444
Xica da Silva,0ArlSKSXWmh4e9C1RFttfd,Dançabilidade,0.85
Canção do sal,1Fkmsaa1kjm1p2rlweyb0P,Dançabilidade,0.747
Dinamarca,5642cn7jjX93mdQZYXfmKs,Dançabilidade,0.317
Palco (Vinheta),0hB3tIomjXDrPBfsjvqqR4,Dançabilidade,0.376
Baião da garoa,6oaMI5a5qk2RmLWLcndCyP,Dançabilidade,0.727
Óia eu aqui de novo,0H91ItuulS9dO0pfw9YZpO,Dançabilidade,0.704
Baião da Penha,6RvnFK7FgrigMWQnsxcB32,Dançabilidade,0.704
Esperando na janela,3zcBNmJH6ToRCI0WNEIuES,Dançabilidade,0.653
Último pau-de-arara,6wVm6ism8Z6KEWl9RPghJS,Dançabilidade,0.376
Asa branca,5RSBHx8U59qjgqNuwPAaFV,Dançabilidade,0.714
Qui nem jiló,4p4yGDMjaVF9zaPJohU5co,Dançabilidade,0.695
Assum preto,0SishSdZavYw7rQMP7XAX1,Dançabilidade,0.52
Pau-de-arara,4QNr4AKQn4jDh2vdQWuszC,Dançabilidade,0.593
A volta da Asa Branca,4NWlIEnZotMGrODLdx6glS,Dançabilidade,0.714
O amor aqui de casa,1sXcjLye2tDnoRJ44tZyCt,Dançabilidade,0.748
As pegadas do amor,61v2eY4KUDcFSc2XAgNPGZ,Dançabilidade,0.621
Lamento sertanejo,3sxhpt3p7D0Sas6ej9HGk1,Dançabilidade,0.68
Casinha feliz,6x7Vof39NEHvHaqfFUh9VZ,Dançabilidade,0.403
Tatá Engenho Novo,5TXNhp5y4BGSCvsoPZKnpY,Dançabilidade,0.601
Mana,2auzFFG0oivOAhp3DbQl2D,Dançabilidade,0.466
17 na Corrente,1owKiazTMG7SJ3xxQjyb8x,Dançabilidade,0.845
Xote,2hOBIikUx8xlzvlidsccf8,Dançabilidade,0.628
Eu Te Dei Meu Ané,1bw3NoCKogl5vKz9KJDQvf,Dançabilidade,0.659
Kaô,0NBwstemn1pQ7sQwRAd7Zw,Dançabilidade,0.379
Ciranda,3WK9DWK5c3qRmn54Ep4Ub0,Dançabilidade,0.726
Rep,5XVdKxfQogY3CGAThvjx8h,Dançabilidade,0.719
Onde o Xaxado Tá,2SCRGrFyPpYUMGuHu2OkH2,Dançabilidade,0.585
Língua do Pê,0VQ8wZ1O9DzzKLYt58Zusv,Dançabilidade,0.66
A Santinha Lá da Serra,28FdM8eNo1gjf9kLnNdmao,Dançabilidade,0.269
Ai Baiano,4dzaWMhTrXV8rF2OeI5xpF,Dançabilidade,0.539
Bastiana,7uxeKTllCg0OGJxW0JjvH4,Dançabilidade,0.573
Oslodum,56JsbZ0WcpzAjjhYYAeGRQ,Dançabilidade,0.761
Músico Simples,6paM7R1f0E3RhsZmZdrY70,Dançabilidade,0.383
Watapá,6B9ydCSgUoeGc9bqi3Pqob,Dançabilidade,0.735
17 Na Corrente,4TW29hUswhpY5lwezrBIJO,Dançabilidade,0.805
Eu Te Dei Meu An,0HsEcc6Ul1HUSFZRkd9ZuI,Dançabilidade,0.658
Ka+,6XDvsA0f1PRiTMPgkVbMNu,Dançabilidade,0.399
Onde O Xaxado Tá,7wgofsSZQtqzADH2vByWgZ,Dançabilidade,0.579
Lingua Do P+,3fg0ZUzU1tYxpAsDrCoIKX,Dançabilidade,0.674
A Santinha Lá Da Serra,2snYnlbRHjgnuLzPdXGbGJ,Dançabilidade,0.3
Introdução - Ao vivo,4JcQpVLO0PmkFAYNVQ1i5R,Dançabilidade,0.473
Palco - Ao vivo,0GmUizxXyrS6bVATWhRdNP,Dançabilidade,0.595
Stir It Up - Ao vivo,1aqLIbjt6ndyMuqtA6crhT,Dançabilidade,0.68
Vendedor de caranguejo - Ao vivo,50tuDVbBE4UzwfLWKxfoSG,Dançabilidade,0.591
Quanta - Ao vivo,3kygc89kbpBszEijuVBt8f,Dançabilidade,0.492
Estrela - Ao vivo,3GBiSsU6d6rRCvgCmIlFlv,Dançabilidade,0.545
Pela internet - Ao vivo,5DaEQz6S9YD7mjDNSGxdTt,Dançabilidade,0.687
Cérebro eletrônico - Ao vivo,5ax6woISSmVWdRDrdiSqQY,Dançabilidade,0.475
Opachorô - Ao vivo,4UjMxqYaWWltujnm3PEdj6,Dançabilidade,0.601
Copacabana - Ao vivo,6CqaVBsqfkRMYso47ByoZ8,Dançabilidade,0.611
O Ghandi - Ao vivo,3IRvhvfms2g89lhznKedMO,Dançabilidade,0.467
De ouro e marfim - Ao vivo,1QvvIs07DnkQJe8yWp4r0V,Dançabilidade,0.506
Doce de Carnaval (Candy all),34rufeRkVfiYJClRqLVQms,Dançabilidade,0.618
Lamento de carnaval,29JGEP0cibgc5UrgqXq3xd,Dançabilidade,0.758
Pretinha,6QEuF6gXnXwLOlxZWMqLTa,Dançabilidade,0.729
Introdução - Ao Vivo,157eTZw4POKwxntrw9iiPb,Dançabilidade,0.477
Palco - Ao Vivo,41Cc4w7gSRLCbDeGXyss0L,Dançabilidade,0.589
Is This Love - Ao Vivo,3yr3Wd6pna1MgK80fFDRui,Dançabilidade,0.66
Stir It Up - Ao Vivo,3fEPATDd48N4jzs57SIGDb,Dançabilidade,0.673
Refavela - Ao Vivo,2NMbuyEcegQ0XamGM3vvgQ,Dançabilidade,0.514
Vendedor de Caranguejo - Ao Vivo,5H6XteI3TagHq3A6icNnMf,Dançabilidade,0.593
Cérebro Eletrônico - Ao Vivo,09S4ABNTK1iwKjbxWLC7g9,Dançabilidade,0.481
Opachorô - Ao Vivo,0cQvbJb5ag7iyAl1EDZ5AT,Dançabilidade,0.545
Copacabana - Ao Vivo,22TB3Y379n0OtOolHJZKI8,Dançabilidade,0.601
A Novidade - Ao Vivo,3kfVaxBqV2N72sgldCr1zB,Dançabilidade,0.648
O Ghandi - Ao Vivo,4e2dwqGDyUzscSZgAyfziw,Dançabilidade,0.47
De Ouro e Marfim - Ao Vivo,2LAAw4hHTGZoFTPORsDMlE,Dançabilidade,0.479
Doce de Carnaval (Ao Vivo) - Bonus Track,0BU6bKiOMb40oSV63qKwIi,Dançabilidade,0.62
Lamento de Carnaval (Ao Vivo) - Bonus Track,5pb95bEwu43nxSWQa8i279,Dançabilidade,0.756
Pretinha (Ao Vivo) - Bonus Track,6ZoDauIJvqV1XQrR6YwkxH,Dançabilidade,0.74
Quanta (feat. Milton Nascimento),1fAzJFTYJVh358R7cWB5WH,Dançabilidade,0.708
Ciência e arte,68f2W0jnfCu2j6vMXc1LQ1,Dançabilidade,0.704
Dança de Shiva,0LHmUxfSGjGMkO5mOvsI5C,Dançabilidade,0.657
Vendedor de caranguejo,7lFVk6VN2iRloKuZPnLA4a,Dançabilidade,0.73
Água benta,65ZE5ckRto6HLGZOUokYfG,Dançabilidade,0.732
Pílula de alho,0iORIcJSCMTHEgOcpQauqM,Dançabilidade,0.696
Opachorô,4Bat8t4qT4gsvfLEinFyvX,Dançabilidade,0.632
Pela internet,4kZDpACh3eEaamibA4Wwm6,Dançabilidade,0.665
