Nome da música,Id da música,Características,Valores
Esotérico (Ao Vivo),2zMv7Ggwg8pCs0TwYLYKVp,Acústica,0.584
Cores Vivas (Ao Vivo),6ua1WOV08kDOchJvPpWSgd,Acústica,0.371
Água Viva (Ao Vivo),3EuLzcWgtVdnZzHJdeF8J6,Acústica,0.185
Retiros Espirituais (Ao Vivo),3L0ywhZCRSbPdnvc6sH9Oy,Acústica,0.692
Copo Vazio (Ao Vivo),2yregxu9FyVEZJEp3vL3cd,Acústica,0.886
"Meu Amigo, Meu Herói (Ao Vivo)",7g0Trzw2tjtbzLHOJCGrvC,Acústica,0.927
Relicário (Ao Vivo),62mTTZEhX1rwnWkbqRrYh3,Acústica,0.558
Pérola Negra (Ao Vivo),4X1p8pR8UKGqrFdOMpE9nO,Acústica,0.548
Refavela (Ao Vivo),5gwN9eT8fAD6RXolWkuV30,Acústica,0.618
Ela (Ao Vivo),1IF59n2Sl1diihM2LQhwd3,Acústica,0.295
Tocarte (Ao Vivo),31nKcTGDjfubHmx3motui7,Acústica,0.574
Dois Rios (Ao Vivo),6EaLFbYh8OrUCqeKUDrl3s,Acústica,0.484
Nada Mais (Lately) [Ao Vivo],62MBkoN95QH0jqoGw5FvOC,Acústica,0.777
Por Onde Andei (Ao Vivo),3LESkgqwUPamdbCmCBCo1j,Acústica,0.136
O Segundo Sol (Ao Vivo),5SO1VWdMNrC5ol9GTwAzgJ,Acústica,0.264
A Gente Precisa Ver o Luar (Ao Vivo),2X1BX599GooUmcIyMyZfFS,Acústica,0.346
Barato Total (Ao Vivo),5OJ26sotimSxBKkkC2ik5Y,Acústica,0.584
Back in Bahia - Ao vivo,42XOOCltwfAiy8AdUHA4MT,Acústica,0.867
Coração vagabundo - Ao vivo,4BEbHMueqklTzIqmlUAkaZ,Acústica,0.898
Tropicália - Ao vivo,5jBtYdA1FaSpGl2K8aOZfH,Acústica,0.906
Marginália II - Ao vivo,5DZIEbu0C7lOHgnxDaZheJ,Acústica,0.872
É luxo só - Ao vivo,0hPSDJCffAXC0eOeSkpcZH,Acústica,0.81
De Manhã - Ao vivo,0zfyKoIX5V4M6eamRRjj7a,Acústica,0.923
As Camélias do Quilombo do Leblon - Ao vivo,3ucamwI44g1PWbxl674lJK,Acústica,0.87
Sampa - Ao vivo,5WJ5YhbUIgOiO9Lhw1UTbC,Acústica,0.877
Terra - Ao vivo,4UzX7AufxePczXzXiuk8k6,Acústica,0.896
Nine out of Ten - Ao vivo,1TCAhtzpdjjdloGHUFmQBV,Acústica,0.876
Odeio - Ao vivo,7t1PhDfnVUA0ee4EE1kv21,Acústica,0.899
Tonada de luna llena - Ao vivo,6ABnSm5zD72xlhwDTNARhO,Acústica,0.974
Eu vim da Bahia - Ao vivo,7D3ud84cgM1u6deacNfqNH,Acústica,0.852
Super Homem (A Canção) - Ao vivo,54V4yXBxNPbW7fiYhDhOEr,Acústica,0.899
Come prima - Ao vivo,2cXULP6lJrP9M3fhgLHuGM,Acústica,0.866
Esotérico - Ao vivo,0KGBgEFHj8gd1Aze6UtW26,Acústica,0.901
Três palabras - Ao vivo,3TCM2c539t23yox3iinjRm,Acústica,0.887
Drão - Ao vivo,4coY1pK4cGM2Z2OAHGhCnH,Acústica,0.872
Não tenho medo da morte - Ao vivo,1v448ZhQHpRWmtQMr5mboJ,Acústica,0.63
Expresso 2222 - Ao vivo,5aIMibc2dl4qlsRiQ4qdN0,Acústica,0.901
Toda Menina Baiana - Ao vivo,6ztZcLvDT5ZZ6GshzC9cRz,Acústica,0.771
"São João, Xangô Menino - Ao Vivo",7jb5jTsbWfLTaFMuC0OQNJ,Acústica,0.918
Nossa gente (Avisa lá) - Ao vivo,3TstIheXlz5btgS8j0sWf1,Acústica,0.862
Andar com Fé - Ao vivo,377REgYHlY71TkpPmuZL21,Acústica,0.832
Filhos de Gandhi - Ao vivo,6uqnjKPPRqaxszYO2603Mg,Acústica,0.835
Desde que o samba é samba - Ao vivo,1OuaRFVDtSIuy5nqCyWbV0,Acústica,0.907
Domingo no parque - Ao vivo,16gNyzIaAw5jrdWbpKa59r,Acústica,0.825
A luz de tieta - Ao vivo,31MN9eH1EWE9UlkDNX0Pm9,Acústica,0.91
Back in Bahia - Ao Vivo,6gGRugb8cNav6YZwgJ14xy,Acústica,0.866
Coração Vagabundo - Ao Vivo,6tiH24Ute53VpnxqGPGafW,Acústica,0.887
Tropicália - Ao Vivo,5UW6ekL4if71Wjrnfs2dMc,Acústica,0.905
Marginália II - Ao Vivo,5kKwTBuiSvvHmorCLhhKY9,Acústica,0.869
É Luxo Só - Ao Vivo,5O3yclO0tN6761iBNGE4o1,Acústica,0.807
É de Manhã - Ao Vivo,45Gjkn44caL8PHMy8Id8zE,Acústica,0.925
As Camélias do Quilombo do Leblon - Ao Vivo,4Xh7ifiX7bwhxk3basbEo3,Acústica,0.873
Sampa - Ao Vivo,0P3io2eXDiJkhJLE5SQWuU,Acústica,0.89
Terra - Ao Vivo,21w1GQCxEMl4ln24sYbadu,Acústica,0.889
Nine Out of Ten - Ao Vivo,49U3NbwvOY3oPkgs7EvYWm,Acústica,0.873
Odeio - Ao Vivo,5mVEncRUNblAi2aGRofYCz,Acústica,0.894
Tonada de Luna Llena - Ao Vivo,3GKJcJLFHJIWzh2cc0LFEP,Acústica,0.976
Eu Vim da Bahia - Ao Vivo,7eZV03gNakHqHmkBTzU2t6,Acústica,0.862
Super Homem (A Canção) - Ao Vivo,74CYKG87IixfvX7GPpAExc,Acústica,0.9
Come prima - Ao Vivo,5WTZrP3aNd4ccEjgXPYSbj,Acústica,0.857
Esotérico - Ao Vivo,5EHtBrWpzl21yNiyjdPACV,Acústica,0.903
Tres Palabras - Ao Vivo,6omeugqBR0frUFKZE5qrap,Acústica,0.869
Drão - Ao Vivo,54tuchh3TmLr8HlCTzD7S5,Acústica,0.871
Não Tenho Medo da Morte - Ao Vivo,7efvCpM8oQaxM18rW6q7O8,Acústica,0.666
Expresso 2222 - Ao Vivo,3eREK42OsQAMyvapUxrUKW,Acústica,0.905
Toda Menina Baiana - Ao Vivo,6C4wpeJ39ESC8F4GL3fMBt,Acústica,0.77
Nossa Gente (Avisa Lá) - Ao Vivo,4vc33ZNJDcUCa3DbFF58mY,Acústica,0.862
Andar com Fé - Ao Vivo,1fXSn69hfQtIlFWePcQTMH,Acústica,0.85
Filhos de Gandhi - Ao Vivo,0lZXZi9yZc7Lb9IjQ3TFj1,Acústica,0.851
Desde Que o Samba é Samba - Ao Vivo,2Whb7oltxAms2AYURKLvhK,Acústica,0.907
Domingo no Parque - Ao Vivo,2lD05Ykfh2VRTg35Q5lAKm,Acústica,0.822
A Luz de Tieta - Ao Vivo,5ReB3gWebevVJ0ziEvcqyO,Acústica,0.913
Maquina De Ritmo (Rhytmn Box),1ClvpqV7sxAs0ycXys4g08,Acústica,0.257
Eu Vim Da Bahia (I Came From Bahia),7fH9aj9f7bI08X0Ymk0Yue,Acústica,0.503
Estrela (Star),2gpgKNzAcCnW99OD5za2vJ,Acústica,0.505
Quanta (How Much),7Dcx6tWHfkP1AGp508Z4jA,Acústica,0.32
Futurivel (In The Future),0prJvC7KpXd4aF5f1Cd4dk,Acústica,0.439
Eu Descobri (I Discovered),4iZld5sS6Tqkq64DzKpTZH,Acústica,0.517
Outra Vez (Again),6McsTmkQ932ybq8ZnYeeBq,Acústica,0.573
Nao Tenho Medo Da Morte (I'm Not Afraid Of Death),3cPFWdlP1yFDZRToaXwwKj,Acústica,0.243
Juazeiro,0Fcjx9qKluwWtnOoH7gWL8,Acústica,0.134
Tres Palabras (Three Words),5VF0eS8b953wgcAnBbG9Ks,Acústica,0.596
La Renaissance Africaine (The African Renaissance),5s6ITEcxe3tKxgMlRYxJ52,Acústica,0.481
Panis Et Circenses (Bread And Games),1x6WjrQkBojFSSfobfwcfw,Acústica,0.574
