palavras,repetições
tempos,13
porto,13
voa,13
cheio,13
alguma,13
luta,13
sabor,13
procurar,13
sereia,13
precisa,13
passado,13
zeca,13
folia,13
bola,13
lago,13
ladeira,13
pensamento,13
gimme,13
thing,13
pele,13
mi,13
sob,13
us,13
abrir,13
loco,13
logunedé,13
valor,13
pediu,13
soy,13
girando,13
levou,13
costuma,13
dói,13
pobres,13
moço,13
planta,13
mandou,13
blue,13
acontece,13
violão,13
digo,13
cinco,13
trabalhar,13
sentese,13
és,13
pessoas,13
direito,13
alho,13
ia,13
humana,13
final,13
aaaah,13
fã,13
escutar,13
crescer,13
beijar,13
fighting,12
falou,12
tartaruga,12
poderá,12
pretos,12
dormir,12
vazio,12
dores,12
passando,12
marinar,12
magia,12
índigo,12
patumbalacundê,12
águas,12
areia,12
planeta,12
chegando,12
di,12
café,12
divina,12
pessoal,12
ganga,12
chego,12
sono,12
buffalo,12
feel,12
find,12
chamado,12
subir,12
cabra,12
refavela,12
problema,12
trás,12
soldier,12
let,12
tomar,12
tomara,12
every,12
somo,12
mente,12
nisso,12
guia,12
imbalança,12
bandaumbandaumbandaumbanda,12
vir,12
ondas,12
world,12
sara,12
brazil,12
rede,12
carne,12
true,12
avião,12
padre,12
bonito,12
dou,12
enfim,12
raios,12
palavras,12
canções,12
louvado,12
louvação,12
jamais,12
seguro,12
cest,12
falava,12
tartaruguê,11
alone,11
tambor,11
entrar,11
inferno,11
nana,11
claro,11
chore,11
tá,11
viola,11
jurubeba,11
deixou,11
balão,11
custa,11
aganju,11
movimento,11
encanto,11
silêncio,11
last,11
sun,11
nu,11
deixo,11
itapuã,11
querida,11
mudo,11
ive,11
escola,11
matar,11
luiz,11
yeah,11
preta,11
babá,11
aprender,11
pega,11
esquina,11
glória,11
peixe,11
fala,11
xaxado,11
think,11
little,11
país,11
perder,11
chorava,11
pais,11
sombra,11
vindo,11
puro,11
contar,11
contente,11
faca,11
contra,11
alegre,11
mesa,11
perdido,11
sete,10
semente,10
reggae,10
princesa,10
chamar,10
quintal,10
sha,10
pôr,10
tantas,10
baiano,10
quantos,10
rebento,10
prometeu,10
taking,10
cais,10
barra,10
sorrindo,10
tanta gente,10
seca,10
suor,10
see,10
segundo,10
segura,10
presente,10
brasileiro,10
tree,10
acho,10
demora,10
adianta,10
debaixo,10
luzia,10
lágrima,10
tom,10
ilógico,10
iansã,10
music,10
tocarte,10
américa,10
dizia,10
nesta,10
heart,10
havia,10
haver,10
infinito,10
apesar,10
naquela,10
cruz,10
d79,10
virou,10
embaixo,10
lembra,10
cuidado,10
leblon,10
dance,10
via,10
dandara,10
japão,10
oio,10
nasceu,10
voou,10
andá,10
confusão,10
new,10
xodó,10
g,10
pimenta,10
ça,10
lê,10
poeira,10
ciranda,10
abacateiro,10
marina,10
descobri,10
frevo,10
meninos,10
asa,10
asas,10
fonte,10
milhões,10
tatu,10
áfrica,10
arreia,10
zé,10
morre,10
fait,10
faiá,10
yes,10
pegar,10
yo,10
dire,10
tv,10
perdeu,10
valer,10
desce,10
zoológico,10
mané,9
like,9
dó,9
dê,9
verso,9
alapalá,9
duro,9
b7,9
living,9
diante,9
long,9
dm,9
livre,9
calado,9
ritmo,9
duas,9
sonhando,9
positive,9
jantar,9
vira,9
fazendo,9
aconteceu,9
horizonte,9
woman,9
besteira,9
segunda,9
grito,9
família,9
go,9
garota,9
edyth,9
gandhi,9
barca,9
sente,9
beba,9
índio,9
óia,9
forma,9
fole,9
hurry,9
esqueceu,9
way,9
imensidão,9
room,9
levanta,9
rosto,9
legal,9
rádio,9
voar,9
jogo,9
jogar,9
entender,9
bomba,9
avô,9
voume,9
said,9
escafede,9
inteira,9
saiu,9
escrever,9
merece,9
show,9
avenida,9
papel,9
ouço,9
astral,9
passo,9
ternura,9
cant,9
deixe,9
mágoa,9
terreiro,9
culpa,9
dava,9
rain,9
talk,9
ané,9
comprida,9
penso,9
preguiça,9
natureza,9
queira,9
passava,9
nobis,9
chamase,9
pecado,9
rara,9
nela,9
cooper,9
meta,9
olokum,9
chorando,9
tell,9
ato,9
cause,9
causa,9
opinião,9
procurando,9
cinema,9
pudesse,9
morreu,9
america,9
pinta,9
crer,9
certeza,9
pano,8
ilusões,8
ouvindo,8
passei,8
eternidade,8
bis,8
eterna,8
espera,8
sargento,8
papo,8
continua,8
esquecer,8
hot,8
idade,8
corazón,8
redor,8
falo,8
haiti,8
ponta,8
prato,8
pra gente,8
poesia,8
bbm7,8
bbm6,8
frutos,8
fio,8
fácil,8
serra,8
fiquei,8
bateu,8
forró,8
batendo,8
porém,8
sentia,8
peço,8
pedaço,8
perdão,8
pedir,8
chegada,8
pedro,8
falei,8
seis,8
corrente,8
girl,8
pescador,8
perigo,8
feita,8
sendo,8
começou,8
começa,8
beco,8
inch,8
casar,8
escuro,8
prum,8
madureira,8
macaco,8
dito,8
respeito,8
divino,8
dizem,8
dizendo,8
cabe,8
buscar,8
luí,8
máquina,8
luzes,8
bruta,8
dom,8
dona,8
cadente,8
cadê,8
christmas,8
destrói,8
mentira,8
caminhar,8
memória,8
calma,8
mean,8
mau,8
devagar,8
moreninha,8
reino,8
descer,8
mito,8
remédio,8
descansar,8
diabo,8
daquele,8
nasce,8
lo,8
nuvens,8
notícia,8
novos,8
lar,8
pó,8
jubiabá,8
nuvem,8
nó,8
quartafeira,8
objeto,8
jardim,8
ofrecer,8
jangada,8
saiba,8
olhe,8
ruas,8
elevese,8
natal,8
dura,8
riso,8
capital,8
questão,8
brilho,8
nação,8
live,8
negar,8
non,8
dágua,8
cê,8
nenhuma,8
nobre,8
noites,8
eis,8
mania,8
pista,8
fogueira,8
sing,8
visão,8
vitrines,8
tak,8
table,8
sábio,8
afinal,8
waiting,8
song,8
baiana,8
balafon,8
abre,8
balanço,8
abra,8
banana,8
aberto,8
banho,8
barato,8
tava,8
virá,8
vinha,8
along,8
