Colocação,Vídeo,id_video,Assista,Estatística,Quantidade
7,LIVE | GIL E IZA | As Canções de Gilberto Gil,mR1aATQK6Xg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/mR1aATQK6Xg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Visualizações,2551330
8,Gilberto Gil - Esperando na Janela,5S-ZrxBkqKU,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/5S-ZrxBkqKU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Visualizações,2448766
9,Gilberto Gil - Three little birds - Clipe (2002),Xv7AUpHt70o,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/Xv7AUpHt70o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Visualizações,2440722
10,Gilberto Gil - Lamento sertanejo - DVD Fé na Festa ao vivo (2010),-7m3t6vbuDw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/-7m3t6vbuDw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Visualizações,2337559
1,GILBERTO GIL E AMIGOS - ANDAR COM FÉ | GIL 78 ANOS,DK06zbkZ18w,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/DK06zbkZ18w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,4093
2,LIVE | GIL E IZA | As Canções de Gilberto Gil,mR1aATQK6Xg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/mR1aATQK6Xg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,2728
3,"Gilberto Gil - Respeita Januário, Xote das meninas, Eu só quero um xodó - Fé na Festa Ao Vivo (2010)",SoybVzCw-rc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SoybVzCw-rc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,1686
4,LIVE | SÃO JOÃO EM ARARAS AO VIVO | Gilberto Gil e Família,s6KB4dDmrcw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/s6KB4dDmrcw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,1478
5,Toquinho & Gilberto Gil - Tarde em Itapoã,CLOqNeCps20,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/CLOqNeCps20"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,1382
6,Toda menina baiana,C5-33YIVYC4,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/C5-33YIVYC4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,1238
7,Caetano Veloso - Terra,wAmtLN4PlLU,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/wAmtLN4PlLU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,1178
8,"REFLORESTA | Gilberto Gil, Gilsons e Bem Gil",YAQxp-rkFVM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/YAQxp-rkFVM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,971
9,Gilberto Gil - Lamento sertanejo - DVD Fé na Festa ao vivo (2010),-7m3t6vbuDw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/-7m3t6vbuDw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,913
10,GILBERTO E FLOR GIL | Norte da Saudade [Goodbye My Girl] | De Avô Para Neta,5CtGKbw0VNQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5CtGKbw0VNQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",Comentários,810
