name,letras_id,url,text,individualScrape,windowPageArgs,views,lyrics
Mulher de Coronel,284035,https://www.letras.com/gilberto-gil/284035/,Mulher de Coronel de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""O Eterno Deus da Mudança"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Mulher de Coronel"",""url"":""284035""}', 'views': 51, 'lyrics': 'Ouça o que eu tenho a dizer\nTome o que eu tenho pra dar\nSe não servir pra você\nAtire tudo no mar\n\n\nDiga o que você disser\nSei que não vou me importar\nFaça o que você fizer\nNão deixarei de te amar\n\nOnde você mora\nMora o meu coração\nQuando você chora\nChora tudo que é olho\nDa minha solidão\n\nSe você namora\nOra, meu Deus\nQue feliz deve ser\nO mortal que provar\nDesse mel que escorrer\nDos teus lábios, então.'}","{""album_name"":""O Eterno Deus da Mudança"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Mulher de Coronel"",""url"":""284035""}",51,"Ouça o que eu tenho a dizer
Tome o que eu tenho pra dar
Se não servir pra você
Atire tudo no mar


Diga o que você disser
Sei que não vou me importar
Faça o que você fizer
Não deixarei de te amar

Onde você mora
Mora o meu coração
Quando você chora
Chora tudo que é olho
Da minha solidão

Se você namora
Ora, meu Deus
Que feliz deve ser
O mortal que provar
Desse mel que escorrer
Dos teus lábios, então."
Musa Cabocla,585132,https://www.letras.com/gilberto-gil/585132/,Musa Cabocla de Gilberto Gil,"{'windowPageArgs': '{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Musa Cabocla"",""url"":""585132""}', 'views': 64, 'lyrics': 'Uirapuru canta no seio da mata\nPapagaio nenhum solta um pio\nSereia canta sentada na pedra\nMarinheiro tonto medra pelo mar\n\n\nSou pau de resposta, gibóia sou eu, canela\nSereia eu sou, uma tela sou eu, sou ela\n\nCoração pipoca na chapa do braseiro\nSou baunilha, sou lenha que queima\nQue queima na porta do formigueiro\nE ouriça o pelo do tamanduá\n\nMãe matriz da fogosa palavra cantada\nGeratriz da canção popular desvairada\nNota mágica no tom mais alto, afinada\n\nSou pau de resposta, jibóia sou eu, canela\nSereia eu sou, uma tela sou eu, sou ela'}","{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Musa Cabocla"",""url"":""585132""}",64,"Uirapuru canta no seio da mata
Papagaio nenhum solta um pio
Sereia canta sentada na pedra
Marinheiro tonto medra pelo mar


Sou pau de resposta, gibóia sou eu, canela
Sereia eu sou, uma tela sou eu, sou ela

Coração pipoca na chapa do braseiro
Sou baunilha, sou lenha que queima
Que queima na porta do formigueiro
E ouriça o pelo do tamanduá

Mãe matriz da fogosa palavra cantada
Geratriz da canção popular desvairada
Nota mágica no tom mais alto, afinada

Sou pau de resposta, jibóia sou eu, canela
Sereia eu sou, uma tela sou eu, sou ela"
Música Moderna,2536919,https://www.letras.com/gilberto-gil/musica-moderna/,Música Moderna de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""To Be Good Is To Be Alive: Anos 80"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Música Moderna"",""url"":""musica-moderna""}', 'views': 40, 'lyrics': 'Eu queria tanto uma canção bonita\nFeita descaradamente por amor\nComo outra qualquer canção\nFeita descaradamente por amor\nComo uma modinha antiga feita por amor\nDe uma vulgaridade total\n\n\nEu queria tanto essa canção e no entanto\nO que eu canto agora é\nSimplesmente música moderna\nFeita pra consumo como fumo é\nComo tudo que se vê no mundo agora é\nProduto da era industrial\nComo Coca-Cola ou a marca Pelá\nDe uma realidade brutal'}","{""album_name"":""To Be Good Is To Be Alive: Anos 80"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Música Moderna"",""url"":""musica-moderna""}",40,"Eu queria tanto uma canção bonita
Feita descaradamente por amor
Como outra qualquer canção
Feita descaradamente por amor
Como uma modinha antiga feita por amor
De uma vulgaridade total


Eu queria tanto essa canção e no entanto
O que eu canto agora é
Simplesmente música moderna
Feita pra consumo como fumo é
Como tudo que se vê no mundo agora é
Produto da era industrial
Como Coca-Cola ou a marca Pelá
De uma realidade brutal"
Músico Simples,585133,https://www.letras.com/gilberto-gil/585133/,Músico Simples de Gilberto Gil,"{'windowPageArgs': '{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Músico Simples"",""url"":""585133""}', 'views': 34, 'lyrics': 'Acordei e o acordeon\nTinha sido tocado num tom muito alto\nDesafinei sete vezes na noite\nSaí da boate chorando\n\n\nSonhos desse tipo são comuns\nPara um músico simples dos bares da vida\nSonhos do eco\nDo medo\nDa culpa\nDo erro\nDa noite perdida\n\nE tantos outros ecos\nPode um sonho representar\nRessonância\nnsia\nReverberação\nCoração despedaçado\nDobrado\nChoro\nFado\nTango\nTriste acordeon'}","{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Músico Simples"",""url"":""585133""}",34,"Acordei e o acordeon
Tinha sido tocado num tom muito alto
Desafinei sete vezes na noite
Saí da boate chorando


Sonhos desse tipo são comuns
Para um músico simples dos bares da vida
Sonhos do eco
Do medo
Da culpa
Do erro
Da noite perdida

E tantos outros ecos
Pode um sonho representar
Ressonância
nsia
Reverberação
Coração despedaçado
Dobrado
Choro
Fado
Tango
Triste acordeon"
Na Casa Dela,262263,https://www.letras.com/gilberto-gil/262263/,Na Casa Dela de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""São João Vivo"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Na Casa Dela"",""url"":""262263""}', 'views': 164, 'lyrics': 'Trago a emoção\nBem vivida em meu coração\nDo instante em que\nVí o fogo santo brotar do chão\nComo uma flor\nComo uma semente de ardor\nCom um esplendor de uma cor\nQue não tem comparação\n\n\nO fogo eu ví\nA sensação pude sentir\nNos meus pés descalços\nEra suave e morno o calor\nE há mais no ar\nHavia perfume a exalar\nTão embriagador de quase não\nSe poder respirar\n\nComo se não bastassem\nO fogo e o olor\nFoi tocado um sino que eu sei\nQue um anjo foi quem tocou\nFogo, calor, perfume\nSom de sino, oiô\nSó faltava o mel,\nSó faltava o mel\nMas o mel chegou!\n\nPingava mel\nDa parede escorria mel\nEu passava o dedo\nE provava sem medo, sem temor\nDoce sabor\nComprovava o gosto de amor\nLá na casa dela\nNa casa dela, a Mãe do Senhor'}","{""album_name"":""São João Vivo"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Na Casa Dela"",""url"":""262263""}",164,"Trago a emoção
Bem vivida em meu coração
Do instante em que
Ví o fogo santo brotar do chão
Como uma flor
Como uma semente de ardor
Com um esplendor de uma cor
Que não tem comparação


O fogo eu ví
A sensação pude sentir
Nos meus pés descalços
Era suave e morno o calor
E há mais no ar
Havia perfume a exalar
Tão embriagador de quase não
Se poder respirar

Como se não bastassem
O fogo e o olor
Foi tocado um sino que eu sei
Que um anjo foi quem tocou
Fogo, calor, perfume
Som de sino, oiô
Só faltava o mel,
Só faltava o mel
Mas o mel chegou!

Pingava mel
Da parede escorria mel
Eu passava o dedo
E provava sem medo, sem temor
Doce sabor
Comprovava o gosto de amor
Lá na casa dela
Na casa dela, a Mãe do Senhor"
Na Imaginação,888303,https://www.letras.com/gilberto-gil/888303/,Na Imaginação de Gilberto Gil,"{'windowPageArgs': '{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Na Imaginação"",""url"":""888303""}', 'views': 36, 'lyrics': 'Na imaginação\nEu já sei\nFalta ao meu coração\nSer o rei\nSer o rei e ordenar\nO prazer\nDa emoção de amar\nE viver\nCada respiração\nComo for\nComo for cada vez \nA paixão \nCantar cada canção \nComo for\nComo for cada vez\nTodo amor\n'}","{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Na Imaginação"",""url"":""888303""}",36,"Na imaginação
Eu já sei
Falta ao meu coração
Ser o rei
Ser o rei e ordenar
O prazer
Da emoção de amar
E viver
Cada respiração
Como for
Como for cada vez 
A paixão 
Cantar cada canção 
Como for
Como for cada vez
Todo amor
"
Na Real,3138603,https://www.letras.com/gilberto-gil/na-real/,Na Real de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""OK OK OK"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Na Real"",""url"":""na-real""}', 'views': 53, 'lyrics': 'Nada é real, você é\nNada é igual, você é\nNada é normal, você é, você é\n\n\nDito assim, você, você e mais você\nParece que eu não sei o que é o amor\nAmor por tudo e todos, luz do bom viver\nQue a palavra de Deus nos ensinou\n\nSendo assim, você, você e mais você\nÉ como se eu não pudesse enxergar\nAs gotas de orvalho soltas sobre a flor\nAs gaivotas soltas sobre o mar\n\nÉ que você, você, você e só você\nÉ mais que o necessário para abrir\nO armário cheio de ilusões dentro de mim\nPara que tudo ali possa caber\n\nSendo assim, real, real é só você\nDe quem disponho além de um sonho em vão\nQue nada em nada iguala, em nada o seu poder\nDe me fazer mais normal, puro e são'}","{""album_name"":""OK OK OK"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Na Real"",""url"":""na-real""}",53,"Nada é real, você é
Nada é igual, você é
Nada é normal, você é, você é


Dito assim, você, você e mais você
Parece que eu não sei o que é o amor
Amor por tudo e todos, luz do bom viver
Que a palavra de Deus nos ensinou

Sendo assim, você, você e mais você
É como se eu não pudesse enxergar
As gotas de orvalho soltas sobre a flor
As gaivotas soltas sobre o mar

É que você, você, você e só você
É mais que o necessário para abrir
O armário cheio de ilusões dentro de mim
Para que tudo ali possa caber

Sendo assim, real, real é só você
De quem disponho além de um sonho em vão
Que nada em nada iguala, em nada o seu poder
De me fazer mais normal, puro e são"
"Namba, a Gangamorada",556555,https://www.letras.com/gilberto-gil/556555/,"Namba, a Gangamorada de Gilberto Gil","{'windowPageArgs': '{""album_name"":""Quilombo (Trilha Sonora)"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Namba, a Gangamorada"",""url"":""556555""}', 'views': 44, 'lyrics': 'Namba deita pa Ganga\nOlha nos olhos\nNamba deita pa Ganga\nBeija na boca\nNamba deita pa Ganga\nPernas pros ares\nIaiá Namba é pa Ganga\nLinda morada\nNamorada de Ganga\nNambamorada\nNambamorada de Ganga\nNambamorada\n'}","{""album_name"":""Quilombo (Trilha Sonora)"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Namba, a Gangamorada"",""url"":""556555""}",44,"Namba deita pa Ganga
Olha nos olhos
Namba deita pa Ganga
Beija na boca
Namba deita pa Ganga
Pernas pros ares
Iaiá Namba é pa Ganga
Linda morada
Namorada de Ganga
Nambamorada
Nambamorada de Ganga
Nambamorada
"
"Não Chores Mais (No Woman, No Cry)",46223,https://www.letras.com/gilberto-gil/46223/,"Não Chores Mais (No Woman, No Cry) de Gilberto Gil","{'windowPageArgs': '{""album_name"":""Realce"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Não Chores Mais (No Woman, No Cry)"",""url"":""46223""}', 'views': 8378, 'lyrics': 'No Woman, No Cry\nNo Woman, No Cry\nNo Woman, No Cry\nNo Woman, No Cry\n\n\nBem que eu me lembro\nDa gente sentado ali\nNa grama do aterro, sob o sol\nOb-observando hipócritas\nDisfarçados, rondando ao redor\n\nAmigos presos\nAmigos sumindo assim\nPra nunca mais\nTais recordações\nRetratos do mal em si\nMelhor é deixar pra trás\n\nNão, não chore mais\nNão, não chore mais\nOh! Oh!\nNão, não chore mais\nOh! Oh! Oh! Oh! Oh!\nNão, não chore mais\nHê! Hê!\n\nBem que eu me lembro\nDa gente sentado ali\nNa grama do aterro, sob o céu\nOb-observando estrelas\nJunto à fogueirinha de papel\n\nQuentar o frio\nRequentar o pão\nE comer com você\nOs pés, de manhã, pisar o chão\nEu sei a barra de viver\n\nMas, se Deus quiser!\nTudo, tudo, tudo vai dar pé\nTudo, tudo, tudo vai dar pé\nTudo, tudo, tudo vai dar pé\nTudo, tudo, tudo vai dar pé\nTudo, tudo, tudo vai dar pé\nTudo, tudo, tudo vai dar pé\n\nNo Woman, No Cry\nNo Woman, No Cry\nNo Woman, No Cry\nUh! Uh! Uh!\n\nNão, não chore mais\nMenina não chore assim!\nNão, não chore mais\nOh! Oh! Oh!\nNo Woman, No Cry\nNo Woman, No Cry\nNão, não chore mais\nNão chore assim\nNão, não chore mais\nHê! Hê!'}","{""album_name"":""Realce"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Não Chores Mais (No Woman, No Cry)"",""url"":""46223""}",8378,"No Woman, No Cry
No Woman, No Cry
No Woman, No Cry
No Woman, No Cry


Bem que eu me lembro
Da gente sentado ali
Na grama do aterro, sob o sol
Ob-observando hipócritas
Disfarçados, rondando ao redor

Amigos presos
Amigos sumindo assim
Pra nunca mais
Tais recordações
Retratos do mal em si
Melhor é deixar pra trás

Não, não chore mais
Não, não chore mais
Oh! Oh!
Não, não chore mais
Oh! Oh! Oh! Oh! Oh!
Não, não chore mais
Hê! Hê!

Bem que eu me lembro
Da gente sentado ali
Na grama do aterro, sob o céu
Ob-observando estrelas
Junto à fogueirinha de papel

Quentar o frio
Requentar o pão
E comer com você
Os pés, de manhã, pisar o chão
Eu sei a barra de viver

Mas, se Deus quiser!
Tudo, tudo, tudo vai dar pé
Tudo, tudo, tudo vai dar pé
Tudo, tudo, tudo vai dar pé
Tudo, tudo, tudo vai dar pé
Tudo, tudo, tudo vai dar pé
Tudo, tudo, tudo vai dar pé

No Woman, No Cry
No Woman, No Cry
No Woman, No Cry
Uh! Uh! Uh!

Não, não chore mais
Menina não chore assim!
Não, não chore mais
Oh! Oh! Oh!
No Woman, No Cry
No Woman, No Cry
Não, não chore mais
Não chore assim
Não, não chore mais
Hê! Hê!"
Não Grude Não,1191172,https://www.letras.com/gilberto-gil/1191172/,Não Grude Não de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""Banda Larga Cordel"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Não Grude Não"",""url"":""1191172""}', 'views': 161, 'lyrics': 'Não grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nOxênte onde já se viu\n\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nO disgrama quis pariu\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nAfasta vai sai pra lá\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nBasta deixa eu respirar\n\nNão quero evitar você\nMas jurar amor não vou\nIaia o açude seco\nMe ajude a me escafeder (2x)\n\nQuem se escafede não fede\nQuem se escafede não pede\nDa liberdade não cede nem um tantin\nNuma cidade sodade\nNotra cidade sodade\nQuem se escafede\nSe antecede ao fim do fim (2x)\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nCarrapicho de jardim\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nCarrapato chato assim\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nFaz um Faz um favorzim\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nAlô, Já vo, Atchim\n\nNão quero evitar você\nMas jurar amor não vou\nIaia o açude seco\nMe ajude a me escafeder (2x)\n\nQuem se escafede não fede\nQuem se escafede não pede\nDa liberdade não cede nem um tantin\nNuma cidade sodade\nNotra cidade sodade\nQuem se escafede\nSe antecede ao fim do fim (2x)\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nCarrapato chato assim\n\nNão grude não\nNão grude\nNão grude não\nNão grude\nNão grude não\nAlô, Já vo, Atchim\n\nNão quero evitar você\nMas jurar amor não vou\nIaia o açude seco\nMe ajude a me escafeder (2x)\n\nQuem se escafede não fede\nQuem se escafede não pede\nDa liberdade não cede nem um tantin\nNuma cidade sodade\nNotra cidade sodade\nQuem se escafede\nSe antecede ao fim do fim (2x)\n\nAlô, Já vo, Atchim'}","{""album_name"":""Banda Larga Cordel"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""Não Grude Não"",""url"":""1191172""}",161,"Não grude não
Não grude
Não grude não
Não grude
Não grude não
Oxênte onde já se viu


Não grude não
Não grude
Não grude não
Não grude
Não grude não
O disgrama quis pariu

Não grude não
Não grude
Não grude não
Não grude
Não grude não
Afasta vai sai pra lá

Não grude não
Não grude
Não grude não
Não grude
Não grude não
Basta deixa eu respirar

Não quero evitar você
Mas jurar amor não vou
Iaia o açude seco
Me ajude a me escafeder (2x)

Quem se escafede não fede
Quem se escafede não pede
Da liberdade não cede nem um tantin
Numa cidade sodade
Notra cidade sodade
Quem se escafede
Se antecede ao fim do fim (2x)

Não grude não
Não grude
Não grude não
Não grude
Não grude não
Carrapicho de jardim

Não grude não
Não grude
Não grude não
Não grude
Não grude não
Carrapato chato assim

Não grude não
Não grude
Não grude não
Não grude
Não grude não
Faz um Faz um favorzim

Não grude não
Não grude
Não grude não
Não grude
Não grude não
Alô, Já vo, Atchim

Não quero evitar você
Mas jurar amor não vou
Iaia o açude seco
Me ajude a me escafeder (2x)

Quem se escafede não fede
Quem se escafede não pede
Da liberdade não cede nem um tantin
Numa cidade sodade
Notra cidade sodade
Quem se escafede
Se antecede ao fim do fim (2x)

Não grude não
Não grude
Não grude não
Não grude
Não grude não
Carrapato chato assim

Não grude não
Não grude
Não grude não
Não grude
Não grude não
Alô, Já vo, Atchim

Não quero evitar você
Mas jurar amor não vou
Iaia o açude seco
Me ajude a me escafeder (2x)

Quem se escafede não fede
Quem se escafede não pede
Da liberdade não cede nem um tantin
Numa cidade sodade
Notra cidade sodade
Quem se escafede
Se antecede ao fim do fim (2x)

Alô, Já vo, Atchim"
